PlayerID,Player,Age,Games,Minutes,FGM,FGA,FTM,FTA,ORB,TRB,AST,STL,BLK,PF,PTS,FGP,FTP,MPG,PPG,RPG,APG,WS25,RANDOM
hassetr01,Trenton Hassell,22,78,2237,267,628,87,114,65,255,172,55,44,184,681,0.425,0.763,28.7,8.7,3.3,2.2,2.7,
haywobr01,Brendan Haywood,22,62,1266,109,221,97,160,143,322,29,21,91,158,315,0.493,0.606,20.4,5.1,5.2,0.5,5.2,
huntest01,Steven Hunter,20,53,516,67,147,55,94,40,97,5,5,43,81,189,0.456,0.585,9.7,3.6,1.8,0.1,2.8,
jefferi01,Richard Jefferson,21,79,1917,270,591,189,265,85,293,140,64,48,211,742,0.457,0.713,24.3,9.4,3.7,1.8,11.7,
johnsjo02,Joe Johnson,20,77,1916,251,584,41,53,75,257,179,59,20,114,581,0.43,0.774,24.9,7.5,3.3,2.3,5.1,
kirilan01,Andrei Kirilenko,20,82,2151,285,633,285,371,149,402,94,116,159,156,880,0.45,0.768,26.2,10.7,4.9,1.1,4.4,
murphtr01,Troy Murphy,21,82,1448,178,423,121,156,99,322,70,36,21,217,480,0.421,0.776,17.7,5.9,3.9,0.9,6.5,
parketo01,Tony Parker,19,77,2267,268,639,108,160,33,197,334,89,7,166,705,0.419,0.675,29.4,9.2,2.6,4.3,7,
radmavl01,Vladimir Radmanovi?,21,61,1230,146,354,49,72,45,230,81,56,24,119,407,0.412,0.681,20.2,6.7,3.8,1.3,3.8,
richaja01,Jason Richardson,21,80,2629,464,1090,141,210,124,340,236,106,31,195,1151,0.426,0.671,32.9,14.4,4.3,3,7.3,
thomaet01,Etan Thomas,23,47,618,81,151,41,74,55,181,6,17,35,76,203,0.536,0.554,13.1,4.3,3.9,0.1,4.5,
tinslja01,Jamaal Tinsley,23,80,2442,289,760,131,186,78,298,647,138,40,248,751,0.38,0.704,30.5,9.4,3.7,8.1,4.4,
watsoea01,Earl Watson,22,64,964,96,212,23,36,31,83,125,60,5,93,231,0.453,0.639,15.1,3.6,1.3,2,2.3,
woodslo01,Loren Woods,23,60,516,33,96,44,60,46,122,22,17,34,60,110,0.344,0.733,8.6,1.8,2,0.4,1.1,
alexaco02,Courtney Alexander,23,65,1382,239,573,123,150,42,143,62,45,5,139,618,0.417,0.82,21.3,9.5,2.2,1,1.1,
crawfja01,Jamal Crawford,20,61,1050,107,304,27,34,9,89,141,43,14,68,282,0.352,0.794,17.2,4.6,1.5,2.3,4.5,
doolike01,Keyon Dooling,20,76,1237,148,362,125,179,8,89,177,41,11,107,449,0.409,0.698,16.3,5.9,1.2,2.3,1.1,
fizerma01,Marcus Fizer,22,72,1580,278,646,117,161,76,313,76,30,19,175,683,0.43,0.727,21.9,9.5,4.3,1.1,0.5,
houseed01,Eddie House,22,50,550,104,247,24,35,5,42,52,13,0,58,251,0.421,0.686,11,5,0.8,1,0.7,
jacksst02,Stephen Jackson,22,77,1660,243,572,97,135,41,208,140,86,14,166,635,0.425,0.719,21.6,8.2,2.7,1.8,4.4,
johnsde03,DerMarr Johnson,20,78,1313,146,390,64,87,56,178,64,43,30,134,397,0.374,0.736,16.8,5.1,2.3,0.8,1.3,
magloja01,Jamaal Magloire,22,74,1095,122,271,95,145,103,295,27,18,78,139,339,0.45,0.655,14.8,4.6,4,0.4,7.6,
martike01,Kenyon Martin,23,68,2272,346,777,121,192,137,502,131,78,113,281,814,0.445,0.63,33.4,12,7.4,1.9,7.1,
masonde01,Desmond Mason,23,78,1522,189,439,67,91,72,249,63,39,20,146,463,0.431,0.736,19.5,5.9,3.2,0.8,5.2,
mihmch01,Chris Mihm,21,59,1166,173,391,100,126,106,280,16,20,53,156,446,0.442,0.794,19.8,7.6,4.7,0.3,3.6,
millemi01,Mike Miller,20,82,2390,368,845,91,128,66,327,140,51,19,200,975,0.436,0.711,29.1,11.9,4,1.7,7.4,
mottoha01,Hanno Möttölä,24,73,989,123,277,73,90,49,174,25,11,9,163,319,0.444,0.811,13.5,4.4,2.4,0.3,0.5,
petermo01,Morris Peterson,23,80,1809,290,673,104,145,112,259,105,63,20,164,747,0.431,0.717,22.6,9.3,3.2,1.3,3.2,
richaqu01,Quentin Richardson,20,76,1358,232,525,99,158,105,257,62,42,7,98,613,0.442,0.627,17.9,8.1,3.4,0.8,0.7,
swiftst01,Stromile Swift,21,80,1312,153,339,85,141,109,284,28,62,82,160,391,0.451,0.603,16.4,4.9,3.6,0.4,2.9,
tsakaja01,Jake Tsakalidis,21,57,947,101,215,54,91,83,242,19,10,55,137,256,0.47,0.593,16.6,4.5,4.2,0.3,0.6,
turkohe01,Hedo Türko?lu,21,74,1245,138,335,87,112,49,210,69,52,24,139,391,0.412,0.777,16.8,5.3,2.8,0.9,3.4,
bowenry01,Ryan Bowen,24,52,589,46,117,38,53,75,114,20,39,13,95,131,0.393,0.717,11.3,2.5,2.2,0.4,1.7,
brandel01,Elton Brand,20,81,2999,630,1306,367,536,348,810,155,66,132,259,1627,0.482,0.685,37,20.1,10,1.9,10.6,
buckngr01,Greg Buckner,23,48,923,111,233,43,63,56,174,55,38,20,148,275,0.476,0.683,19.2,5.7,3.6,1.1,2.3,
cartean01,Anthony Carter,24,79,1859,201,509,93,124,48,199,378,93,5,167,498,0.395,0.75,23.5,6.3,2.5,4.8,1.7,
cummivo01,Vonteego Cummings,23,75,1793,265,655,127,169,57,184,247,91,13,174,706,0.405,0.751,23.9,9.4,2.5,3.3,0.6,
davisba01,Baron Davis,20,82,1523,182,433,97,153,48,165,309,97,19,201,486,0.42,0.634,18.6,5.9,2,3.8,4.4,
francst01,Steve Francis,22,77,2776,497,1117,287,365,152,409,507,118,29,231,1388,0.445,0.786,36.1,18,5.3,6.6,11.1,
hamilri01,Richard Hamilton,21,71,1373,254,605,103,133,38,129,108,28,6,142,639,0.42,0.774,19.3,9,1.8,1.5,8.1,
maccuto01,Todd MacCulloch,24,56,528,89,161,28,54,48,146,13,11,37,94,206,0.553,0.519,9.4,3.7,2.6,0.2,2.5,
maggeco01,Corey Maggette,20,77,1370,224,469,196,261,123,303,61,24,26,169,646,0.478,0.751,17.8,8.4,3.9,0.8,8.1,
